Bank reference,Narrative,Customer reference,TRN type,Value date,Credit amount,Debit amount,Time,Post date,Balance
829471Z01W0W,HELLMANN SAUDI ARABIA TFR+,INV241221276270,Transfer,31/12/2024,"5,444.10",,19:05,31/12/2024,"20,784,406.54"
71307250006L,SAUDI TECHNOLOGY COMPANY TFR+,NONREF,Transfer,31/12/2024,"2,849,355.00",,18:55,31/12/2024,"20,778,962.44"
EBPZ-07262,FROM SADEEM TECHNOLOGY F فواتير سﻼم,NONREF,Transfer,31/12/2024,"32,704.55",,15:44,31/12/2024,"17,929,607.44"
YRTI-33922,LP IPSP2400MMFO3 شركه قنوات للنظم SA7480000166608010291995 Alrajhi Bank RIYADH 20241231SARJHIRJHI6BOPF11522045594 31DEC24 15:22:47,NONREF,Transfer,31/12/2024,"8,646.52",,15:22,31/12/2024,"17,896,902.89"
1914726016L7,ARABIAN I.+.S.CO.LTD TFR+,NONREF,Transfer,31/12/2024,"21,238.20",,15:06,31/12/2024,"17,888,256.37"
NCBK82424366AUJW,ركة الحفر والخدمات البتروليةالمحدو والخدمات البتروليةالمحدو Operating Expenses TFR+ Operational Maintenance NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"30,049.50",,14:54,31/12/2024,"17,867,018.17"
YRTI-32098,LP IPSP2400MM5YU ريبون العالمية للتجارة SA5405000068200855550000 Alinma bank RIYADH 20241231SAINMAINMA6BXXX11451275619 31DEC24 14:51:42,NONREF,Transfer,31/12/2024,"7,935.00",,14:51,31/12/2024,"17,836,968.67"
132072600SOZ,ABDUL LATIF JAMEEL SUMMI TFR+,INTERNET,Transfer,31/12/2024,"33,120.00",,14:45,31/12/2024,"17,829,033.67"
NCBK82424366ATIG,SAUDI FAL CO LTD TFR+ Service/Utility Bills BPV12-40783 BPV12-40783 NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"107,640.00",,14:26,31/12/2024,"17,795,913.67"
010141231H006275,Company MAJMOU BAAN Holding Company MAJMOU BAAN Hold Scheduled Dec 24 Payment TFR+ Hotels SAUDI INVESTMENT BANK RIYADH EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"332,831.55",,14:26,31/12/2024,"17,688,273.67"
YRTI-29524,LP IPSP2400MM0O7 ة الشرق للخرسانه الجاهزه SA1080000572608010009007 Alrajhi Bank RIYADH 20241231SARJHIRJHI6BOPF11408873752 31DEC24 14:08:43,NONREF,Transfer,31/12/2024,"14,490.00",,14:08,31/12/2024,"17,355,442.12"
5.00003E+11,INTERCONTINENTAL AL KHOBAR HOTEL INTERCONTINENTAL AL KHOB INTB0249524262730654853E TFR+ AL RAJHI BANKING AND INV T CORP HEAD OFFICE RIYADH EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"49,335.00",,13:14,31/12/2024,"17,340,952.12"
